activity,time,lat,long,activity_id
Walking, 1576055755.958, 430486545660229.94, -84017641410585.66, 13
Walking, 1576055775.0370002, 430496907260229.94, -84017641410585.66, 13
Walking, 1576055794.103, 430498037173425.06, -84018816229280.88, 13
Walking, 1576055797.081, 430483343682250.44, -84024251349921.36, 13
Walking, 1576055814.158, 430515426582250.4, -84024251349921.36, 13
Walking, 1576055835.016, 430516430492412.9, -84024049736467.73, 13
Walking, 1576055845.144, 430517070456838.3, -84020998340357.28, 13
Walking, 1576055858.158, 430527934078623.2, -84019949659029.33, 13
Walking, 1576055865.005, 430539616678623.2, -84019949659029.33, 13
Walking, 1576055884.071, 430538222948365.2, -84020074505732.78, 13
Walking, 1576055895.0310001, 430535466733576.44, -84020002409400.6, 13
Walking, 1576055898.158, 430545982433576.44, -84020002409400.6, 13
Walking, 1576055915.054, 430549451153204.2, -84023389255943.0, 13
Walking, 1576094228.033, 430546108300898.44, -84026629695661.45, 14
Walking, 1576094239.147, 430546288991250.25, -84025461784887.84, 14
Walking, 1576094246.1, 430551204191250.3, -84025461784887.84, 14
Walking, 1576094259.029, 430554909787180.7, -84034339702209.98, 14
Walking, 1576094280.022, 430554085371727.75, -84035521914153.98, 14
Walking, 1576094290.0970001, 430554728731694.6, -84036860012460.56, 14
Walking, 1576094310.151, 430554821931694.7, -84036860012460.56, 14
Walking, 1576094320.01, 430555036631694.7, -84036860012460.56, 14
Walking, 1576094451.029, 430553448913760.8, -84023510640136.84, 15
Walking, 1576094465.53, 430557768112078.1, -84030632783338.58, 15
Walking, 1576094468.029, 430560192973927.0, -84030093441491.0, 15
Walking, 1576094479.0370002, 430561219399339.44, -84030427725225.08, 15
Walking, 1576094498.0210001, 430562936699339.44, -84030427725225.08, 15
Walking, 1576094519.074, 430564522599339.5, -84030427725225.08, 15
Walking, 1576094538.0270002, 430564580133437.9, -84033953690551.98, 15
Walking, 1576094547.676, 430564505554102.56, -84046376615815.27, 15
Walking, 1576094559.08, 430565198654102.56, -84046376615815.27, 15
Walking, 1576094567.621, 430582422528088.94, -84054324775504.16, 15
Walking, 1576094569.012, 430566031884458.06, -84062259598944.9, 15
Walking, 1576094579.0570002, 430566170663038.56, -84062024724256.02, 15
Walking, 1576094587.6820002, 430561966788289.7, -84062430913767.81, 15
Walking, 1576094589.072, 430554627337901.3, -84062573831357.19, 15
Walking, 1576094599.0029998, 430555814107658.56, -84062565004224.14, 15
Walking, 1576094608.735, 430559664107658.56, -84062565004224.14, 15
Walking, 1576094618.07, 430559847949663.6, -84062783824346.48, 15
Walking, 1576094628.75, 430572774649663.6, -84062783824346.48, 15
Walking, 1576094639.04, 430583307483329.6, -84058236041629.83, 15
Walking, 1576136339.6079998, 430577616174207.8, -84070323675538.39, 16
Walking, 1576136346.0579998, 430577651486918.5, -84072775027894.22, 16
